word,count,sep
leader,121,good
mistake,121,good
car,121,good
red,121,good
sight,120,good
ass,120,good
progress,120,good
logical,120,good
band,120,good
fascinating,120,good
motives,120,good
significant,120,good
guilt,119,good
weight,119,good
thrill,119,good
battle,119,good
harsh,119,good
robot,119,good
bitter,119,good
uncomfortable,119,good
surface,118,good
loud,118,good
subplots,118,good
alone,118,good
Beautiful,118,good
phone,118,good
intensity,118,good
comical,118,good
communication,118,good
directors,118,good
doubt,118,good
white,117,good
climax,117,good
trio,117,good
scared,117,good
stellar,117,good
hype,117,good
rules,117,good
tbh,117,good
adaptation,117,good
independent,117,good
pity,117,good
fiction,116,good
impactful,116,good
tiny,116,good
romances,116,good
lazy,116,good
darker,116,good
strongest,116,good
product,116,good
combination,116,good
flaw,116,good
closer,116,good
state,116,good
zombie,115,good
slight,115,good
beings,115,good
projects,115,good
hints,115,good
loyal,115,good
summary,115,good
audiences,115,good
complaint,114,good
thrillers,114,good
stage,114,good
affair,114,good
hooked,114,good
cliffhanger,114,good
complexity,114,good
language,113,good
exaggerated,113,good
laws,113,good
names,113,good
water,113,good
creepy,113,good
characterization,113,good
humanity,112,good
staff,112,good
profound,112,good
opportunities,112,good
officer,112,good
charismatic,112,good
color,112,good
visual,111,good
ambitious,111,good
pleasure,111,good
desperate,111,good
lonely,111,good
peace,111,good
chaebol,111,good
parent,110,good
Japanese,110,good
gap,110,good
forgettable,110,good
substance,110,good
earlier,110,good
culprit,110,good
sequences,110,good
min,110,good
healthy,109,good
co,109,good
trouble,108,good
exact,108,good
jealous,108,good
shorter,108,good
apparent,108,good
cells,108,good
depiction,108,good
American,108,good
Short,108,good
onscreen,107,good
patients,107,good
criticism,107,good
build,107,good
award,107,good
unfortunate,107,good
catchy,107,good
anti,107,good
wholesome,107,good
greatest,107,good
More,107,good
supportive,107,good
e,107,good
jokes,107,good
numerous,107,good
enjoyment,107,good
cringe,106,good
queen,106,good
reaction,106,good
immature,106,good
opinions,106,good
righteous,106,good
owner,106,good
capable,106,good
prison,106,good
speed,106,good
sucker,106,good
fire,106,good
caring,106,good
safe,106,good
spectacular,105,good
university,105,good
Things,105,good
source,105,good
plans,105,good
central,105,good
frustrated,105,good
kinds,105,good
advantage,105,good
incident,105,good
producers,105,good
pointless,105,good
position,104,good
violent,104,good
monster,104,good
workplace,104,good
persona,104,good
magical,104,good
image,104,good
dog,104,good
vampire,104,good
syndrome,104,good
equal,104,good
likely,104,good
thinking,104,good
gender,103,good
d,103,good
fights,103,good
confusion,103,good
greater,103,good
watchers,103,good
ugly,103,good
absurd,103,good
exception,102,good
laughter,102,good
enemies,102,good
Season,102,good
siblings,102,good
pair,102,good
affection,102,good
traits,102,good
jealousy,102,good
interaction,102,good
balanced,101,good
shy,101,good
unanswered,101,good
revelations,101,good
alot,101,good
match,101,good
roller,101,good
standards,101,good
par,101,good
grief,100,good
warmth,100,good
heroes,100,good
sequel,100,good
straight,100,good
coffee,99,good
hint,99,good
conversation,99,good
comment,99,good
live,99,good
praise,99,good
behaviour,99,good
brief,99,good
guilty,99,good
play,99,good
Life,99,good
tv,99,good
instrumental,98,good
unbelievable,98,good
focused,98,good
birth,98,good
fighting,98,good
unusual,98,good
ultimate,98,good
video,98,good
restaurant,98,good
war,98,good
divorce,98,good
challenges,98,good
spy,98,good
sick,97,good
existence,97,good
status,97,good
coaster,97,good
depressing,97,good
interests,97,good
door,97,good
term,97,good
Romance,97,good
respective,97,good
expectation,96,good
misunderstanding,96,good
surgery,96,good
jobs,96,good
makers,96,good
center,96,good
candy,96,good
wedding,96,good
upset,96,good
psychopath,96,good
cuteness,96,good
seconds,96,good
layers,96,good
feels,96,good
fillers,96,good
unable,96,good
makeup,95,good
colors,95,good
city,95,good
clothes,95,good
straightforward,95,good
Last,95,good
illogical,95,good
antics,94,good
plus,94,good
qualities,94,good
poster,94,good
manager,94,good
sincere,94,good
flashback,94,good
easier,94,good
sexy,93,good
lyrics,93,good
ladies,93,good
critical,93,good
confidence,93,good
charisma,93,good
mouth,93,good
sympathy,93,good
passionate,93,good
betrayal,93,good
joke,93,good
design,92,good
witty,92,good
OVERALL,92,good
bar,92,good
depression,92,good
laughs,92,good
blind,92,good
views,92,good
trailer,92,good
delight,91,good
alright,91,good
field,91,good
road,91,good
about,90,good
land,90,good
desire,90,good
vulnerable,90,good
intentions,90,good
powers,90,good
superficial,90,good
grand,90,good
science,90,good
remarkable,89,good
steady,89,good
gold,89,good
insane,89,good
veteran,89,good
spark,89,good
Amazing,89,good
transition,89,good
cult,89,good
costumes,89,good
curiosity,89,good
differences,89,good
DRAMA,89,good
brave,89,good
jin,88,good
dangerous,88,good
cheap,88,good
aura,88,good
pairing,88,good
redemption,88,good
share,88,good
partners,88,good
stiff,88,good
proud,88,good
teenage,87,good
evidence,87,good
department,87,good
results,87,good
crisis,87,good
monsters,87,good
timeline,87,good
mere,87,good
responsible,87,good
inconsistent,87,good
intelligence,87,good
prominent,86,good
firm,86,good
biased,86,good
injustice,86,good
MUSIC,86,good
devices,86,good
accurate,86,good
internal,86,good
ship,86,good
shock,86,good
lies,86,good
criminals,86,good
efforts,85,good
musical,85,good
3rd,85,good
representation,85,good
unfair,85,good
agency,85,good
playlist,85,good
notable,85,good
ideal,85,good
community,85,good
delightful,85,good
anxiety,85,good
Yoo,85,good
noble,85,good
perspectives,85,good
realism,85,good
dirty,84,good
shocking,84,good
zombies,84,good
references,84,good
outcome,84,good
sequence,84,good
smiles,84,good
international,84,good
triangles,84,good
worried,84,good
First,84,good
artists,84,good
master,83,good
backgrounds,83,good
punishment,83,good
clichs,83,good
Best,83,good
scenery,83,good
connections,83,good
Asian,83,good
town,83,good
loyalty,83,good
universe,83,good
murderer,82,good
plotlines,82,good
insight,82,good
amazed,82,good
mission,82,good
annoyed,82,good
hit,82,good
underdeveloped,82,good
twin,82,good
stress,82,good
reveal,82,good
abusive,82,good
nonsense,82,good
enemy,82,good
pathetic,82,good
generation,82,good
hidden,82,good
minded,81,good
fish,81,good
rough,81,good
downs,81,good
available,81,good
cheerful,81,good
fairy,81,good
duration,81,good
credits,81,good
obsession,81,good
education,81,good
loop,81,good
puppy,80,good
CEO,80,good
developments,80,good
treat,80,good
darkness,80,good
o,80,good
rude,80,good
royal,80,good
sports,80,good
broken,80,good
tad,80,good
judge,80,good
problematic,80,good
wide,80,good
generic,79,good
busy,79,good
strengths,79,good
consequence,79,good
loneliness,79,good
thin,79,good
psycho,79,good
manipulative,79,good
convenient,79,good
Episode,79,good
factors,79,good
category,79,good
CGI,79,good
parallel,79,good
subplot,79,good
worlds,79,good
technical,78,good
fabulous,78,good
teenagers,78,good
breakup,78,good
hole,78,good
double,78,good
puzzle,78,good
plain,78,good
props,77,good
singer,77,good
advice,77,good
bias,77,good
pop,77,good
cringy,77,good
area,77,good
momentum,77,good
suffering,77,good
patience,77,good
frame,77,good
regards,77,good
corporate,77,good
move,77,good
talk,77,good
areas,77,good
contract,76,good
countless,76,good
clues,76,good
endless,76,good
miserable,76,good
mine,76,good
twisted,76,good
effective,76,good
chef,76,good
relevant,76,good
underwhelming,76,good
ages,76,good
facts,76,good
skill,76,good
Final,76,good
authentic,75,good
soo,75,good
dance,75,good
pleasing,75,good
mean,75,good
English,75,good
base,75,good
filming,75,good
crown,75,good
GOOD,75,good
board,75,good
experienced,75,good
weakest,75,good
characterisation,75,good
empathy,75,good
Same,75,good
recognition,75,good
agent,75,good
transformation,74,good
return,74,good
motive,74,good
fellow,74,good
club,74,good
party,74,good
princess,74,good
lame,74,good
satisfaction,74,good
apartment,74,good
debut,74,good
imagination,74,good
promise,74,good
possibilities,73,good
excuse,73,good
secretary,73,good
out,73,good
reflection,73,good
meeting,73,good
levels,73,good
wall,73,good
watcher,73,good
meh,73,good
solution,73,good
detailed,73,good
rollercoaster,73,good
dude,73,good
mid,73,good
noticeable,73,good
sympathetic,73,good
woo,73,good
figure,73,good
difficulties,73,good
spotlight,73,good
courage,73,good
brutal,73,good
angle,73,good
contrary,72,good
deaths,72,good
reasonable,72,good
grey,72,good
addictive,72,good
treatment,72,good
foundation,72,good
abilities,72,good
formula,72,good
further,72,good
forgiveness,72,good
lighting,72,good
improvement,72,good
ill,72,good
toes,71,good
productions,71,good
month,71,good
highschool,71,good
confession,71,good
episodic,71,good
fav,71,good
similarities,71,good
commentary,71,good
shaman,71,good
controversial,71,good
massive,70,good
hopeful,70,good
attraction,70,good
stubborn,70,good
bonding,70,good
responsibility,70,good
suitable,70,good
chaos,70,good
Overall,70,good
valuable,70,good
teenager,70,good
witch,70,good
appeal,70,good
ongoing,70,good
Kudos,70,good
route,70,good
watching,70,good
diverse,70,good
outside,70,good
honesty,70,good
friendly,70,good
angles,70,good
sets,70,good
coms,70,good
park,70,good
motivation,70,good
games,69,good
runtime,69,good
regret,69,good
hesitant,69,good
weakness,69,good
stalker,69,good
acceptable,69,good
Cute,69,good
revelation,69,good
outfits,69,good
stereotypical,69,good
bully,69,good
screenwriters,69,good
dramaland,69,good
commendable,69,good
tiring,69,good
cliffhangers,69,good
spirits,69,good
wild,69,good
AMAZING,68,good
kpop,68,good
feet,68,good
cops,68,good
FL,68,good
greedy,68,good
kindness,68,good
golden,68,good
weekend,68,good
murders,68,good
poignant,68,good
jail,68,good
CHARACTERS,68,good
link,68,good
matters,68,good
endearing,68,good
living,68,good
tight,68,good
BLs,68,good
gentle,68,good
soundtracks,68,good
theories,67,good
King,67,good
vague,67,good
detectives,67,good
employee,67,good
regrets,67,good
acceptance,67,good
basis,67,good
unlikely,67,good
competition,67,good
twins,67,good
bonus,67,good
clueless,67,good
bag,67,good
inconsistencies,67,good
grace,67,good
cutest,67,good
favor,67,good
trend,66,good
sooo,66,good
satisfactory,66,good
mutual,66,good
description,66,good
stereotypes,66,good
cheating,66,good
paper,66,good
None,66,good
souls,66,good
thoughtful,66,good
post,66,good
disaster,66,good
obstacles,66,good
bcs,66,good
bodies,66,good
disturbing,66,good
rights,66,good
essential,66,good
crucial,66,good
incomplete,66,good
kinda,66,good
teens,66,good
box,66,good
organization,66,good
grateful,66,good
government,66,good
fl,65,good
nuanced,65,good
skip,65,good
structure,65,good
rule,65,good
odds,65,good
rate,65,good
freedom,65,good
chances,65,good
trip,65,good
distress,65,good
near,65,good
sweetness,65,good
tones,65,good
talents,64,good
stoic,64,good
telling,64,good
assistant,64,good
coherent,64,good
seriousness,64,good
grandmother,64,good
mixture,64,good
fall,64,good
nerves,64,good
jump,64,good
failure,64,good
grandfather,64,good
tense,64,good
lucky,64,good
emphasis,64,good
lighter,64,good
skinship,64,good
notes,64,good
versions,64,good
con,64,good
determined,64,good
influence,64,good
subjects,64,good
destiny,64,good
unrequited,63,good
gradual,63,good
mountain,63,good
books,63,good
abrupt,63,good
acts,63,good
pleased,63,good
warning,63,good
television,63,good
table,63,good
playful,63,good
nostalgic,63,good
grim,63,good
fears,63,good
call,63,good
surprises,63,good
hatred,63,good
management,63,good
definition,63,good
shoes,63,good
technology,63,good
goodness,62,good
gritty,62,good
threads,62,good
optimistic,62,good
morals,62,good
nonsensical,62,good
dry,62,good
groups,62,good
luck,62,good
clean,62,good
mins,62,good
wounds,62,good
Rewatch,62,good
worker,62,good
longing,62,good
risk,62,good
boundaries,62,good
players,62,good
A,62,good
chief,62,good
cancer,62,good
tons,62,good
transitions,62,good
idiot,62,good
innocence,61,good
will,61,good
screenwriting,61,good
intro,61,good
glimpse,61,good
ruthless,61,good
section,61,good
appealing,61,good
creators,61,good
placement,61,good
app,61,good
round,61,good
outcomes,61,good
sun,61,good
senior,61,good
making,61,good
goosebumps,61,good
banter,61,good
primary,60,good
bloody,60,good
overwhelming,60,good
possibility,60,good
maturity,60,good
shop,60,good
osts,60,good
wish,60,good
regard,60,good
spin,60,good
gangster,60,good
comeback,60,good
needs,60,good
condition,60,good
appearances,60,good
mains,60,good
interpretation,60,good
admirable,60,good
4th,60,good
instance,60,good
rock,60,good
professor,60,good
intimate,60,good
flower,60,good
attempts,60,good
troubles,60,good
Special,60,good
colleagues,60,good
degree,59,good
Worth,59,good
search,59,good
lie,59,good
beliefs,59,good
bubbly,59,good
SPOILERS,59,good
films,59,good
bottom,59,good
doubts,59,good
Lots,59,good
skeptical,59,good
workers,59,good
option,59,good
OK,59,good
artistic,59,good
Second,59,good
unknown,59,good
survival,59,good
por,59,good
cliff,59,good
Rain,59,good
intention,59,good
popularity,58,good
uninteresting,58,good
mundane,58,good
butterflies,58,good
separate,58,good
upbeat,58,good
visible,58,good
hoon,58,good
domestic,58,good
demons,58,good
officers,58,good
missing,58,good
youngest,58,good
ears,58,good
melancholic,58,good
sorrow,58,good
get,57,good
ish,57,good
island,57,good
hurt,57,good
circle,57,good
baseball,57,good
medicine,57,good
clue,57,good
inevitable,57,good
everytime,57,good
moves,57,good
spite,57,good
